NetworkName,0VOEM1,0VOEM2,0VOEM3,0VOEM4,0VOEM5,0VOEM6,0VOEM7,0VOEM8,0VOEM9,0VOEM10,0VOEM11,0VOEM12,1VOEM1,1VOEM2,1VOEM3,1VOEM4,1VOEM5,1VOEM6,1VOEM7,1VOEM8,1VOEM9,1VOEM10,1VOEM11,1VOEM12,2VOEM1,2VOEM2,2VOEM3,2VOEM4,2VOEM5,2VOEM6,2VOEM7,2VOEM8,2VOEM9,2VOEM10,2VOEM11,2VOEM12,3VOEM1,3VOEM2,3VOEM3,3VOEM4,3VOEM5,3VOEM6,3VOEM7,3VOEM8,3VOEM9,3VOEM10,3VOEM11,3VOEM12
314,109,646,288,255,824,190,88,657,95,54,492,180,218,0,221,117,1051,0,0,0,0,0,782,86,48,816,124,123,914,182,106,354,206,51,802,150,71,0,105,113,1148,0,0,0,0,0,981,51
315,103,823,246,253,820,189,127,389,50,42,503,204,241,0,201,114,1021,0,0,0,0,0,789,87,63,480,186,115,860,172,85,255,212,50,792,148,89,0,104,90,1058,0,0,0,0,0,1010,53
316,128,718,206,248,803,185,136,574,79,62,412,214,219,0,207,114,1017,0,0,0,0,0,679,75,48,648,172,117,871,174,92,186,212,46,708,132,107,0,93,100,1055,0,0,0,0,0,924,48
317,88,456,284,248,803,185,130,451,41,41,399,185,195,0,199,116,1041,0,0,0,0,0,732,81,68,449,109,124,926,185,61,399,163,48,744,139,99,0,120,119,1136,0,0,0,0,0,869,45
318,73,234,289,163,525,121,158,397,101,62,500,155,136,0,215,75,673,0,0,0,0,0,853,94,37,742,142,72,540,108,54,339,171,54,854,160,81,0,119,87,639,0,0,0,0,0,998,52
319,129,618,227,226,730,168,125,417,68,41,550,183,218,0,175,101,906,0,0,0,0,0,812,90,52,715,119,100,750,150,68,328,205,50,789,148,99,0,84,94,901,0,0,0,0,0,928,48
320,94,637,183,259,835,192,151,437,75,34,493,209,237,0,177,117,1049,0,0,0,0,0,745,82,41,661,217,123,914,182,64,413,211,47,737,138,133,0,103,48,1086,0,0,0,0,0,968,50
321,101,620,169,233,755,174,84,410,73,124,365,207,243,0,230,103,919,0,0,0,0,0,557,61,121,749,193,101,752,150,57,437,149,40,629,118,87,0,112,183,916,0,0,0,0,0,836,43
322,97,780,161,271,877,202,93,605,46,122,434,144,211,0,129,127,1139,0,0,0,0,0,620,68,96,373,181,129,963,192,53,374,207,38,599,112,117,0,74,205,1167,0,0,0,0,0,792,41
323,110,793,134,227,734,169,119,329,67,60,374,109,204,0,183,103,926,0,0,0,0,0,565,62,102,676,171,113,834,166,59,378,93,38,598,112,104,0,139,223,1009,0,0,0,0,0,787,41
